pid,filename,department,current_location,description,label,object_type,location,other_number,other_number_type,culture,culture_area,manufacture_location_mint,period,_date,earliest,latest,iconography,maker,technique,height_cm,length_cm,width_cm,depth_cm,thickness_cm,outside_diameter_cm,weight_kg,irn_unique_id,credit_line,reference_bibliography,exhibition_history,source,order,layout,collection,thumbnail,full
obj1,29-93-6_297441.01.jpg,African,On Display,Box lid carved with two Portuguese figures (in European dress) fighting beside a tethered pangolin. Side of box decorated with a three-ply two strand twist (each strand is three-ply),Box Lid,Ivory,Nigeria|Benin Kingdom,52,Cast Number,Edo (Africa),,,,19th century CE,1800,1899,,,,6.1,16.2,10.6,,,,,27537,"Purchased from the Estate of George Byron Gordon, 1927","[Book] Brown, Martha M. 2009. Iyare! Splendor & Tension in Benin's Palace Theatre: An African Curriculum for Students.|[Catalogue] Roberts, Allen. 1995. Animals in African Art: From the Familiar to the Marvelous.|[Article] Plass, Margaret B. 1957. African",Africa Galleries: From Maker To Museum - Exhibition (16 Nov 2019),https://www.penn.museum/collections/object.php?irn=27537,00,qatar_item,museum,/img/derivatives/simple/obj1/thumbnail.jpg,/img/derivatives/simple/obj1/fullwidth.jpg
obj2,195264.jpg,African,On Display,"Thin board. Hole bored near top, center, through which string is drawn to hang it up. Abrahamic prayer written in Arabic. Used in Koranic schools to practice writing; also, Koranic verses are written on them, then washed off, the ink solution then being drunk as a charm to ward off evil and sickness.",Tablet,Wood,Morocco,,,,,,,,,,,,,42,,33.5,,,,,96120,"Williams Moroccan Expedition|Talcott Williams and Sophia Wells Royce Williams, 1898",,Africa Galleries: From Maker To Museum - Exhibition (16 Nov 2019),https://www.penn.museum/collections/object.php?irn=96120,01,qatar_item,museum,/img/derivatives/simple/obj2/thumbnail.jpg,/img/derivatives/simple/obj2/fullwidth.jpg
obj3,30-46-2_150518.01.jpg,African,On Display,"Human figure, much weathered; incrustation of kola juice on face and upper part of body. On abdomen, protruding receptacle for medicine, in the front of which is a mirror. Thickly studded with nails and other pointed iron objects. Surrounding face, remains of a grooved flange intended to hold beard.",Figure,Wood|Glass|Brass,Angola,,,Vili,,,,Late 19th–Early 20th century CE,1864,1930,Male,,,104.5,,41.4,28.7,,,,102893,"Purchased from Sumner Healey, 1930","[Journal] Olszewski, Deborah I. African Healing Journeys.|[Catalogue] Webb, Virginia-Lee. 2000. Perfect Documents: Walker Evans and African Art, 1935.|[Catalogue] Wardwell, Allen. 1986. African Sculpture from the University Museum, University of Pennsylva",Africa Galleries: From Maker To Museum - Exhibition (16 Nov 2019),https://www.penn.museum/collections/object.php?irn=102893,02,qatar_item,museum,/img/derivatives/simple/obj3/thumbnail.jpg,/img/derivatives/simple/obj3/fullwidth.jpg
obj4,243953.jpg,African,Collections Storage,"Carved anthropomorphic cup in shape of human head, handle of cup at back of neck. Cf. AF1946.",Cup,Wood,Kasai District|Belgian Congo,22,Cast Number,Bushongo,,,,,,,Human Head,,,16.8,,9,11,,,,120875,"Purchased from Vignier, 1919","[Catalogue, Exhibition] Curnow, Kathy. 2014. At Home In Africa: Design, Beauty and Pleasing Irregularity in Domestic Settings.|[Article] Hall, Henry U. 1932. The African Collections. The University Museum Bulletin. 3 (6): 145-171.|[Article] Hall, Henry U.",Africa Galleries: From Maker To Museum - Exhibition (16 Nov 2019),https://www.penn.museum/collections/object.php?irn=120875,03,qatar_item,museum,/img/derivatives/simple/obj4/thumbnail.jpg,/img/derivatives/simple/obj4/fullwidth.jpg
obj5,228573.jpg,American,On Display,"Polychrome ceramic ware, cylindrical, reddish paste, cream slip on exterior, red interior, circumference decorated with pictoral designs painted in several tints of red-orange and sepia on cream slip, red and black lines with typical Chama chevron band at top and bottom, decoration shows seven human figures, two colored band five red, in ceremony, each figure accompanied by two to four glyphs, intact except for crack",Vase,Ceramic,Guatemala|Department of Alta Verapaz|Chama (Guatemala),L-45-1,Old Loan Number,Mayan,Central American,,,8th century,700,900,,,,23.5,,,,,15,,13189,"Purchased from the Estate of Ebenezer Cary, 1938","[Book] Quick, Jennifer. 2004. Magnificent Objects from the University of Pennsylvania Museum of Archaeology and Anthropology.|[Catalogue, Exhibition] Danien, Elin. 2002. Guide to the Mesoamerican Gallery at the University of Pennsylvania Museum of Archaeo",Mexico and Central American Gallery - Exhibition (16 Nov 2019)|Painted Metaphors: Pottery and Politics of the Ancient,https://www.penn.museum/collections/object.php?irn=13189,04,qatar_item,museum,/img/derivatives/simple/obj5/thumbnail.jpg,/img/derivatives/simple/obj5/fullwidth.jpg
obj6,250805.jpg,American,On Display,Stone feline (jaguar) shaped vessel incised with geometric motifs.,Effigy Vessel,Stone,Peru (uncertain)|Bolivia (uncertain)|Tiahuanaco (uncertain),201,Cast Number,Chavin,Andean,,,,,,Jaguar,,,18.5,33,12.7,,,,9,31036,"Purchased from Joseph Brummer, 1925","[Book] Dorling Kindersley Limited. 2014. History of the World in 1,000 Objects.|[Catalogue, Collection] 1965. Guide to the Collections, The University Museum.|[Book] Madeira, Percy C. 1964. Men in Search of Man: The First Seventy-Five Years of the Univers",Sphinx Gallery - Exhibition (16 Nov 2019),https://www.penn.museum/collections/object.php?irn=31036,05,qatar_item,museum,/img/derivatives/simple/obj6/thumbnail.jpg,/img/derivatives/simple/obj6/fullwidth.jpg
obj7,237759.jpg,American,Collections Storage,"Buckskin with bands of quill work across shoulders and down sleeves, with long cut leather fringe, among which are scalp locks at sleeve.",War Shirt,Deerskin|Porcupine Quill|Human Hair|Horsehair|Bead|Sinew|Pigment,United States of America|North Dakota,,,Mandan,Great Plains Culture Area,,,early 19th century,1800,1830,,,,102.01,,154.94,,,,,16641,"Purchased from Thomas B. Donaldson|subscription of John Wanamaker, 1901","[Catalogue, Collection] Williams, Lucy F. 2003. Guide to the North American Ethnographic Collection at the University of Pennsylvania Museum of Archaeology and Anthropology.",Native American Voices: The People - Here and Now - Exhibition (01 Mar 2014),https://www.penn.museum/collections/object.php?irn=16641,06,qatar_item,museum,/img/derivatives/simple/obj7/thumbnail.jpg,/img/derivatives/simple/obj7/fullwidth.jpg
obj8,237933.jpg,American,On Display,Elegantly Carved. Long and carved at top. Netting is of rawhide (deer or babiche?) with some patching of commercial leather. Animal face carved on pocket end of stick.,Lacrosse Stick,Wood|Hide,Canada|Ontario|Six Nations Reservation|Grand River Reservation,,,Cayuga,Northeast Culture Area,,,19th century,-1845,-1845,,,Carved,,135,2.5,,,,,60691,"Gift of Samuel W. Fernberger, 1953","[Catalogue, Collection] Williams, Lucy F. 2003. Guide to the North American Ethnographic Collection at the University of Pennsylvania Museum of Archaeology and Anthropology.",Native American Voices: The People - Here and Now - Exhibition (01 Mar 2014),https://www.penn.museum/collections/object.php?irn=60691,07,qatar_item,museum,/img/derivatives/simple/obj8/thumbnail.jpg,/img/derivatives/simple/obj8/fullwidth.jpg
obj9,250796.jpg,Asian,On Display,"After consolidating the Tang Empire, Emperor Taizong ordered six large stone panels to be carved with the portraits of his favorite horses. These were the horses he had ridden in overcoming his rivals and securing the territory of the empire. From the laudatory poem he composed for each horse, the names and attributes of the horses can be matched to the stone reliefs. The relief shown here depicts the horse called Saluzi, ridden by Taizong at the battle for the city of Luoyang, the Eastern Capital, in 621 CE. When the horse was stuck with an arrow, the emperor was forced to dismount and switch horses with his general, Qiu Xinggong. The general is shown in the relief pulling the arrow out of the horse's chest while it stoically bears the pain.",Relief,Limestone|Stone,China|Shaanxi|Xi'an|Zhaoling,,,Chinese,,,Tang Dynasty,649 CE,649,649,Tang Taizong Horse|General Qiu Xinggong|Horse|Saluzi|飒露紫,,Carved|Bas Relief,172.7,207,43.2,,,,3540,167942,"Purchased from C. T. Loo|Subscription of Eldridge R. Johnson, 1920","[Book] Dorling Kindersley Limited. 2014. History of the World in 1,000 Objects.|[Article] Zhou, Xiuqin. 2009. The Mausoleum of Emperor Tang Taizong. Sino-Platonic Papers. 187|[Article] Steinhardt, Nancy S. 2008. The Chinese Rotunda. Arts of Asia. 38 (5):",China Gallery - Exhibition (22 Feb 2017),https://www.penn.museum/collections/object.php?irn=167942,08,qatar_item,museum,/img/derivatives/simple/obj9/thumbnail.jpg,/img/derivatives/simple/obj9/fullwidth.jpg
obj10,297875.jpg,Asian,On Display,"The origins of the Penn Museum's crystal ball, both the location where the crystal was mined, and the place where the sphere was polished, are unknown. It was purchased in 1927 from The Far East Shop, a fine arts division specializing in objects made of special gems inside the Wanamaker's department store in Philadelphia. It was given as a gift to the Penn Museum in memory of George Byron Gordon, the director of the museum at the time, who had recently passed away. It came with the name ""Dowager Empress"" attached to it, named after the Empress Dowager Cixi who ruled over China's last Dynasty. However, no evidence has ever come to light that connects the sphere with the Empress, or any other account of the sphere's origins. The silver stand, in the shape of a wave, was made in Japan, and may have been made to order after the sphere was purchased.
 
 It is the fourth largest crystal sphere in the world, with a diameter of 25.4 cm, and weighing 49 lbs. Two spheres in the Smithsonian (32.7 cm) and (27.6 cm) and the Crow Collection in Dallas (28.9 cm) are larger. 
 
 The sphere is not made of glass, but rather from a naturally-occurring crystal of pure quartz, and was shaped into a sphere through years of constant turning in a semi-cylindrical container filled with abrasive powders and water.",Crystal Sphere,Rock Crystal,Unknown,,,,,,Qing Dynasty,19th century CE,1800,1899,,,,25.4,,25.4,,,,22.2,335728,"Purchased from Wanamaker's Department Store|subscription of Eldridge R. Johnson, 1927","[Article] Fernald, Helen E. 1928. The George Byron Gordon Memorial Collection of Chinese Objects in Jade, Crystal, Lapis Lazuli and Coral. The Museum Journal. XIX (No. 1): 35-71.|[Book] Quick, Jennifer. 2004. Magnificent Objects from the University of Pen",China Gallery - Exhibition (22 Feb 2017)|In A Rush? Take a Quick Tour of The Museum - Exhibition ( Sep 1996)|Chinese Rotunda - Exhibition (1968),https://www.penn.museum/collections/object.php?irn=335728,09,qatar_item,museum,/img/derivatives/simple/obj10/thumbnail.jpg,/img/derivatives/simple/obj10/fullwidth.jpg
